task_name,university,school_year,course_name,course_code,credit,task_mode,task_type,task_weight_percent,due_date,due_time,time_required_hours,difficulty,current_date_(today),#_days_left,current_progress_percent,time_spent_hours,priority_level
Assignment 2,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Individual,Assignment,5.0,2022-10-17,5:00 pm,0.5,3.0,2022-10-15,2,90.0,2.5,3
Milestone 0,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Group,Project,0.0,2022-09-22,5:00 pm,0.1,2.0,2022-09-18,4,50.0,0.1,4
Milestone 1,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Group,Report,6.0,2022-10-06,5:00 pm,0.5,3.0,2022-10-01,5,70.0,1.0,4
Milestone 2,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Group,Report,6.0,2022-11-03,5:00 pm,2.0,4.0,2022-10-21,12,60.0,3.0,4
Milestone 3,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Group,Project,13.5,2022-11-21,5:00 pm,2.0,4.0,2022-11-19,2,80.0,8.0,4
Milestone 4,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Group,Project,4.0,2022-12-06,5:00 pm,2.0,4.0,2022-11-29,7,40.0,1.5,4
Midterm,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Individual,Exam,15.0,2022-10-25,11:00 am,4.0,3.0,2022-10-22,3,60.0,6.0,5
Final Exam,McMaster University,4,Human Computer Interfaces,SFWRENG 4G06,3,Individual,Exam,45.0,2022-12-10,12:30 pm,28.0,3.0,2022-12-05,5,15.0,5.0,5
Lab 1,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-09-18,5:30 pm,1.0,1.0,2022-09-16,2,0.0,0.0,2
Lab 2,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-09-25,5:30 pm,1.0,1.0,2022-09-23,2,0.0,0.0,2
Lab 3,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-10-02,5:30 pm,1.0,1.0,2022-09-30,2,0.0,0.0,2
Lab 4,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-10-09,5:30 pm,2.0,1.0,2022-10-07,2,0.0,0.0,2
Lab 5,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-10-23,5:30 pm,2.0,1.0,2022-10-21,2,0.0,0.0,2
Lab 6,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-10-30,5:30 pm,2.0,2.0,2022-10-28,2,0.0,0.0,2
