task_name,university,school_year,course_name,course_code,credit,task_mode,task_type,task_weight_percent,due_date,due_time,time_required_hours,difficulty,current_date_(today),#_days_left,current_progress_percent,time_spent_hours,priority_level
Group Assignment3,McMaster Univeristy,1,Organizational Behaviour,Commerce 1BA3,3,Group,Assignment,10.0,2023-11-08,11:59pm,3.0,2.0,2023-11-12,0,0.0,0.0,1
Assignment 1,McMaster Univeristy,5,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Individual,Assignment,10.0,2023-10-06,11:59pm,10.0,4.0,2023-11-13,0,0.0,0.0,1
Assignment 2,McMaster Univeristy,5,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Individual,Assignment,10.0,2023-11-05,11:59pm,10.0,4.0,2023-11-13,0,0.0,0.0,1
Assignment 3,McMaster Univeristy,5,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Individual,Assignment,10.0,2023-11-24,11:59pm,10.0,4.0,2023-11-13,11,0.0,0.0,4
Group Contract,McMaster Univeristy,5,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Group,Document,0.0,2023-10-16,6:00pm,1.0,1.0,2023-11-13,0,0.0,0.0,1
Project Part I: Literature Review,McMaster Univeristy,5,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Group,Essay,5.0,2023-10-20,11:59pm,5.0,2.0,2023-11-13,0,0.0,0.0,1
Project Part II Case Study,McMaster Univeristy,5,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Group,Essay,5.0,2023-11-17,11:59pm,5.0,2.0,2023-11-13,4,0.0,0.0,5
Assignment 1,McMaster Univeristy,5,Linear Optimization,COMPSCI 4O03,3,Individual,Assignment,10.0,2021-10-09,11:59pm,8.0,4.0,2021-10-04,5,20.0,1.0,4
Assignment 2,McMaster Univeristy,5,Linear Optimization,COMPSCI 4O04,3,Individual,Assignment,10.0,2021-11-06,11:59pm,8.0,3.0,2021-11-02,4,50.0,2.5,3
Assignment 3,McMaster Univeristy,5,Linear Optimization,COMPSCI 4O05,3,Individual,Assignment,10.0,2021-12-06,11:59pm,8.0,4.0,2021-11-13,23,0.0,0.0,2
Assignment 1,McMaster Univeristy,5,Communication Skills,COMPSCI 3I03,3,Individual,Assignment,10.0,2021-10-24,11:59pm,5.0,4.0,2021-10-22,2,80.0,3.0,3
Peer Evaluation,McMaster Univeristy,5,Communication Skills,COMPSCI 3I04,3,Individual,Survey,0.0,2021-12-07,11:59pm,1.0,1.0,2021-12-04,3,40.0,0.5,4
Recorded Presentation,McMaster Univeristy,5,Communication Skills,COMPSCI 3I05,3,Individual,Presentation,10.0,2021-11-12,11:59pm,10.0,3.0,2021-10-31,12,0.0,0.0,2
Assignment 2,McMaster Univeristy,5,Communication Skills,COMPSCI 3I06,3,Individual,Assignment,10.0,2021-11-30,11:59pm,5.0,3.0,2021-11-30,0,90.0,5.0,5
Final Report,McMaster Univeristy,5,Communication Skills,COMPSCI 3I07,3,Individual,Report,10.0,2021-12-15,11:59pm,10.0,5.0,2021-12-02,13,50.0,4.0,2
Midterm 1,McMaster Univeristy,5,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Exam,10.0,2022-10-06,11:59pm,1.5,4.0,2022-10-05,2,0.0,0.0,5
Project 1,McMaster Univeristy,5,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,25.0,2022-10-21,11:59pm,8.0,4.0,2022-10-20,1,0.0,0.0,1
Midterm2,McMaster Univeristy,5,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Midtwem,10.0,2022-11-25,11:59pm,1.5,4.0,2022-11-21,4,40.0,2.0,3
Project 2,McMaster Univeristy,5,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,35.0,2022-11-25,11:59pm,6.0,4.0,2022-11-25,0,90.0,3.0,5
Project Proposal,McMaster Univeristy,5,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,0.0,2022-11-04,11:59pm,4.0,3.0,2022-11-01,3,60.0,2.5,4
Final Project,McMaster Univeristy,5,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,25.0,2022-12-16,11:59pm,20.0,5.0,2022-12-14,2,90.0,20.0,5
Assignment ,McMaster Univeristy,4,Robotics,MECHENG 4K03,3,Individual,Assignment,10.0,2023-11-18,11:59pm,3.5,4.0,2023-11-13,5,0.0,0.0,1
Midterm,McMaster Univeristy,4,Robotics,MECHENG 4K03,3,Individual,Exam,10.0,2023-10-18,11:59pm,1.0,3.0,2023-11-13,0,0.0,0.0,1
Midterm,McMaster Univeristy,4,Robotics,MECHENG 4K03,3,Individual,Exam,10.0,2023-11-07,11:59pm,1.0,3.0,2023-11-13,0,0.0,0.0,1
Midterm,McMaster Univeristy,4,Robotics,MECHENG 4K03,3,Individual,Exam,10.0,2023-11-14,11:59pm,1.0,2.0,2023-11-13,1,0.0,0.0,5
Final Exam,McMaster Univeristy,4,Robotics,MECHENG 4K03,3,Individual,Exam,60.0,2023-12-20,11:59pm,2.5,5.0,2023-11-13,18,0.0,0.0,3
Assignment 1,McMaster Univeristy,5,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4.0,2023-09-22,11:30am,0.0,3.0,2023-11-13,4,100.0,12.0,1
Assignment 2,McMaster Univeristy,5,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4.0,2023-10-06,11:30am,0.0,3.0,2023-11-13,4,100.0,13.0,1
Assignment 3,McMaster Univeristy,5,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4.0,2023-11-26,11:30am,0.0,3.0,2023-11-13,0,100.0,20.0,1
Assignment 4,McMaster Univeristy,5,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4.0,2023-11-16,11:30am,12.0,3.0,2023-11-13,4,90.0,1.0,5
Assignment 5,McMaster Univeristy,5,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4.0,2023-11-30,11:30am,15.0,3.0,2023-11-13,17,0.0,0.0,1
Midterm 3,McMaster Univeristy,5,Robotics,MECHENG 4K03,3,Individual,Midterm,10.0,2023-11-14,13:30pm,3.0,5.0,2023-11-13,1,90.0,5.0,5
Assignment 1,McMaster Univeristy,5,Database,SFWRENG 3DB3 ,3,Individual,Assignment,12.0,2023-10-02,10:00pm,0.0,4.0,2023-11-13,0,100.0,16.0,2
Assignment 2,McMaster Univeristy,5,Database,SFWRENG 3DB3 ,3,Individual,Assignment,13.0,2023-11-10,10:00pm,0.0,4.0,2023-11-13,0,100.0,16.0,2
Assignment 3,McMaster Univeristy,5,Database,SFWRENG 3DB3 ,3,Individual,Assignment,14.0,2023-12-01,10:00pm,16.0,3.0,2023-11-13,18,0.0,0.0,3
Lab 9,McMaster Univeristy,5,Real-Time System and Control Applications,MECHTRON 4AA4,4,Individual,Lab,4.0,2023-11-17,17:30pm,3.0,5.0,2023-11-13,4,0.0,0.0,2
Lab 6 ,McMaster University,4,Digital Signal Processing,COMP ENG 4TL4,4,Individual,Lab,5.0,2023-11-16,17:20pm,2.5,4.0,2023-11-13,3,20.0,0.2,3
Lab 3,McMaster University,4,Computer Architecture,COMP ENG 4DM4,4,Group,Lab,5.0,2023-11-14,11:20am,3.0,4.0,2023-11-13,1,0.0,0.0,5
Lab4,McMaster University,4,Computer Architecture,COMP ENG 4DM5,4,Group,Lab,5.0,2023-11-21,11:20am,3.0,4.0,2023-11-13,7,0.0,0.0,1
Lab4,McMaster University,1,Introductory Physics,PHYSICS 1A03,3,Individual,Lab,5.0,2023-11-14,14:20pm,1.5,4.0,2023-11-13,1,0.0,0.0,5
LON-CAPA Assignment 6,McMaster University,1,Introductory Physics,PHYSICS 1A04,3,Individual,Assignment,8.0,2023-11-17,11:59pm,3.0,2.0,2023-11-13,4,30.0,3.5,4
Lab 5,McMaster University,1,Introductory Physics,PHYSICS 1A05,3,Individual,Lab,5.0,2023-11-21,10:00am,1.5,3.0,2023-11-13,7,0.0,0.0,3
LON-CAPA Assignment 7,McMaster University,1,Introductory Physics,PHYSICS 1A06,3,Individual,Assignment,8.0,2023-11-24,11:59pm,3.0,2.0,2023-11-13,11,0.0,0.0,2
Lab6,McMaster University,1,Introductory Physics,PHYSICS 1A07,3,Individual,Lab,5.0,2023-11-28,10:00am,1.5,4.0,2023-11-13,15,0.0,0.0,1
Midterm 2,McMaster University,1,Introductory Physics,PHYSICS 1A07,3,Individual,Exam,15.0,2023-11-08,10:30am,1.5,5.0,2023-11-13,0,0.0,0.0,1
Assignment 3,McMaster University,4,Smart Systems,MECH ENG 4SS3,3,Individual,Assignment,10.0,2023-11-20,11:59pm,4.0,4.0,2023-11-13,7,40.0,2.5,4
Assignment 4,McMaster University,4,Smart Systems,MECH ENG 4SS3,3,Individual,Assignment,10.0,2023-11-27,11:59pm,4.0,3.0,2023-11-13,14,10.0,0.5,2
Midterm test,McMaster University,5,Robotics,MECH ENG 4K03,3,Individual,Exam,10.0,2023-11-14,14:30pm,0.7,4.0,2023-11-13,0,0.0,5.0,3
Lab4,McMaster University,5,Computer Architecture,COMPENG 4DM4,4,Group,Lab,7.0,2023-11-21,11:59pm,8.0,5.0,2023-11-13,8,10.0,0.5,2
Assignment 4,McMaster University,4,Predictive and intelligence control,MECHTRON 4AX3,3,Individual,Assignment,4.0,2023-11-16,11:59pm,2.0,4.0,2023-11-13,3,0.0,0.0,4
Midterm 3,McMaster University,4,Robotics,MECH ENG 4K03,3,Individual,Exam,10.0,2023-11-14,2:30pm,1.0,5.0,2023-11-13,1,0.0,0.0,5
